idgames;Land1;Land2;Datum;Gruppe;Ergebnis
1;Katar;Ecuador;2022-11-20 17:00:00;A;
2;England;Iran;2022-11-21 14:00:00;B;
3;Senegal;Niederlande;2022-11-21 17:00:00;A;
4;USA;Wales;2022-11-21 20:00:00;B;
5;Argentinien;Saudi-Arabien;2022-11-22 11:00:00;C;
6;Daenemark;Tunesien;2022-11-22 14:00:00;D;
7;Mexiko;Polen;2022-11-22 17:00:00;C;
8;Frankreich;Australien;2022-11-22 20:00:00;D;
9;Marokko;Kroatien;2022-11-23 11:00:00;F;
10;Deutschland;Japan;2022-11-23 14:00:00;E;
11;Spanien;Costa Rica;2022-11-23 17:00:00;E;
12;Belgien;Kanada;2022-11-23 20:00:00;F;
13;Schweiz;Kamerun;2022-11-24 11:00:00;G;
14;Uruguay;Suedkorea;2022-11-24 14:00:00;H;
15;Portugal;Ghana;2022-11-24 17:00:00;H;
16;Brasilien;Serbien;2022-11-24 20:00:00;G;
17;Wales;Iran;2022-11-25 11:00:00;B;
18;Katar;Senegal;2022-11-25 14:00:00;A;
19;Niederlande;Ecuador;2022-11-25 17:00:00;A;
20;England;USA;2022-11-25 20:00:00;B;
21;Tunesien;Australien;2022-11-26 11:00:00;D;
22;Polen;Saudi-Arabien;2022-11-26 14:00:00;C;
23;Frankreich;Daenemark;2022-11-26 17:00:00;D;
24;Argentinien;Mexiko;2022-11-26 20:00:00;C;
25;Japan;Costa Rica;2022-11-27 11:00:00;E;
26;Belgien;Marokko;2022-11-27 14:00:00;F;
27;Kroatien;Kanada;2022-11-27 17:00:00;F;
28;Spanien;Deutschland;2022-11-27 20:00:00;E;
29;Kamerun;Serbien;2022-11-28 11:00:00;G;
30;Suedkorea;Ghana;2022-11-28 14:00:00;H;
31;Brasilien;Schweiz;2022-11-28 17:00:00;G;
32;Portugal;Uruguay;2022-11-28 20:00:00;H;
33;Ecuador;Senegal;2022-11-29 16:00:00;A;
34;Niederlande;Katar;2022-11-29 16:00:00;A;
35;Iran;USA;2022-11-29 20:00:00;B;
36;Wales;England;2022-11-29 20:00:00;B;
37;Tunesien;Frankreich;2022-11-30 16:00:00;D;
38;Australien;Daenemark;2022-11-30 16:00:00;D;
39;Polen;Argentinien;2022-11-30 20:00:00;C;
40;Saudi-Arabien;Mexiko;2022-11-30 20:00:00;C;
41;Kroatien;Belgien;2022-12-01 16:00:00;F;
42;Kanada;Marokko;2022-12-01 16:00:00;F;
43;Japan;Spanien;2022-12-01 20:00:00;E;
44;Costa Rica;Deutschland;2022-12-01 20:00:00;E;
45;Suedkorea;Portugal;2022-12-02 16:00:00;H;
46;Ghana;Uruguay;2022-12-02 16:00:00;H;
47;Serbien;Schweiz;2022-12-02 20:00:00;G;
48;Kamerun;Brasilien;2022-12-02 20:00:00;G;
49;;;2022-12-03 16:00:00;;
50;;;2022-12-03 20:00:00;;
51;;;2022-12-04 16:00:00;;
52;;;2022-12-04 20:00:00;;
53;;;2022-12-05 16:00:00;;
54;;;2022-12-05 20:00:00;;
55;;;2022-12-06 16:00:00;;
56;;;2022-12-06 20:00:00;;
57;;;2022-12-09 16:00:00;;
58;;;2022-12-09 20:00:00;;
59;;;2022-12-10 16:00:00;;
60;;;2022-12-10 20:00:00;;
61;;;2022-12-13 20:00:00;;
62;;;2022-12-14 20:00:00;;
63;;;2022-12-17 18:00:00;;
64;;;2022-12-18 16:00:00;;
